"";"ASSETID";"PERIOD";"PRICE";"UNITPRICE";"CONSTRUCTEDAREA";"ROOMNUMBER";"BATHNUMBER";"HASTERRACE";"HASLIFT";"HASAIRCONDITIONING";"AMENITYID";"HASPARKINGSPACE";"ISPARKINGSPACEINCLUDEDINPRICE";"PARKINGSPACEPRICE";"HASNORTHORIENTATION";"HASSOUTHORIENTATION";"HASEASTORIENTATION";"HASWESTORIENTATION";"HASBOXROOM";"HASWARDROBE";"HASSWIMMINGPOOL";"HASDOORMAN";"HASGARDEN";"ISDUPLEX";"ISSTUDIO";"ISINTOPFLOOR";"CONSTRUCTIONYEAR";"FLOORCLEAN";"FLATLOCATIONID";"CADCONSTRUCTIONYEAR";"CADMAXBUILDINGFLOOR";"CADDWELLINGCOUNT";"CADASTRALQUALITYID";"BUILTTYPEID_1";"BUILTTYPEID_2";"BUILTTYPEID_3";"DISTANCE_TO_CITY_CENTER";"DISTANCE_TO_METRO";"DISTANCE_TO_DIAGONAL";"LONGITUDE";"LATITUDE";"CUSEC";"CUMUN";"CSEC";"CDIS";"CMUN";"CPRO";"CCA";"CUDIS";"CLAU2";"NPRO";"NCA";"CNUT0";"CNUT1";"CNUT2";"CNUT3";"NMUN";"Shape_Leng";"Shape_Area";"geometry";"Renta.media.por.persona";"Renta.media.por.hogar"
"335";"A4178440802276741354";201812;293000;5232,14285714286;56;1;1;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2018;0;1;2018;5;11;4;0;0;1;1,69674381811349;0,290527190994054;2,31257478981745;2,18928386656201;41,3820907689055;"0801901042";"08019";"042";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";1024,00463952;54262,0344824;c(933972.000003122, 4594184.99988436);12067;27681
"336";"A15121363990796869224";201812;304000;4108,10810810811;74;2;1;1;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;NA;1959;5;11;6;0;0;1;1,75143992120631;0,335916753954608;2,37991419046324;2,18973215191342;41,3815663301266;"0801901037";"08019";"037";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";564,396428166;17343,9131798;c(934013.000003122, 4594128.99988437);10872;27028
"337";"A7887578187692583174";201812;292000;4055,55555555556;72;3;1;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;3;1;1959;5;11;6;0;0;1;1,74936716971513;0,331746570496622;2,44292960655547;2,18934216562728;41,3808727306153;"0801901039";"08019";"039";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";794,351008499;33525,9544924;c(933985.000003121, 4594049.99988437);11596;25610
"338";"A10689965199411363504";201812;428000;6584,61538461539;65;1;2;1;0;1;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1937;2;1;1936;6;14;6;0;0;1;1,68082859121579;0,299502169988685;2,49606766861331;2,1879395728064;41,3800718605831;"0801901040";"08019";"040";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";691,079214756;19391,3521489;c(933873.000003121, 4593953.99988437);11880;24985
"339";"A5579455067598378145";201812;294000;4200;70;3;1;0;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;1;1950;3;3;6;0;0;1;1,66466894164242;0,251754883580235;2,41105405431534;2,18827094542616;41,3809301687555;"0801901041";"08019";"041";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";581,634879773;19158,9483765;c(933895.000003121, 4594050.99988437);10287;20544
"341";"A17842308515048887982";201812;147000;4454,54545454546;33;1;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;1;1900;6;7;6;0;0;1;1,65145358631795;0,258803257817051;2,45179015966382;2,18780285292187;41,380456166427;"0801901040";"08019";"040";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";691,079214756;19391,3521489;c(933859.000003121, 4593995.99988437);11880;24985
"342";"A7254184270952177750";201812;392000;4780,48780487805;82;2;2;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2018;0;1;2018;5;11;4;0;0;1;1,69376433809065;0,283843849529861;2,32296478452079;2,18919048111988;41,3819689500037;"0801901042";"08019";"042";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";1024,00463952;54262,0344824;c(933965.000003121, 4594170.99988438);12067;27681
"343";"A18388909044095761827";201812;581000;5928,57142857143;98;3;1;1;1;0;2;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1936;6;1;1936;11;45;4;0;0;1;2,0934205936598;0,324552587181401;2,15082950691201;2,19500188457851;41,3852892001797;"0801901036";"08019";"036";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";3162,85170984;406334,728779;c(934429.000003126, 4594568.99988436);11175;26363
"344";"A4574304623703860320";201812;351000;4081,39534883721;86;3;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1993;4;NA;1993;5;44;5;0;0;1;1,78278305796321;0,369891298645068;2,38375222131654;2,19016879684309;41,3816456155598;"0801901037";"08019";"037";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";564,396428166;17343,9131798;c(934049.000003122, 4594139.99988437);10872;27028
"346";"A11182452319127459707";201812;352000;3744,68085106383;94;3;1;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1993;4;1;1993;5;44;5;0;0;1;1,81044543156616;0,397957628127805;2,39770265914787;2,19050014497719;41,3816036202612;"0801901036";"08019";"036";"01";"019";"08";"09";"0801901";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";3162,85170984;406334,728779;c(934077.000003123, 4594136.99988437);11175;26363
